datetime,open,high,low,close,tick_volume,spread,TARGET,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c,TARGET_BUY,TARGET_SELL
2021-10-05 05:00:00,1764.18,1764.93,1761.65,1761.94,1182,140,0.0,False,False,50.18964180549259,48.86816955142666,65.67287515597853,8.509999999999991,-29.25390805825706,1766.0051602618005,1764.728262135878,0.0,0.0
2021-04-15 04:00:00,1738.66,1740.45,1734.32,1735.15,6680,140,-1.0,True,True,40.86148727834456,30.79934800841099,25.115403131154064,-7.119999999999891,-35.18048179789697,1737.300494031018,1736.525233305773,0.0,-1.0
2021-02-24 23:00:00,1802.55,1805.64,1802.31,1804.68,3047,140,-1.0,True,False,52.62048293401305,82.52107851710143,72.78492335274467,-1.2899999999999636,47.16778967953251,1799.5436195039144,1801.0573131505198,0.0,-1.0
2021-07-26 18:00:00,1801.62,1802.38,1798.15,1799.43,5327,140,0.0,False,False,38.43504500236098,1.055737863745825,13.791004216297916,-7.119999999999891,-161.26800385857135,1803.396403595148,1802.3739193690312,0.0,0.0
2021-05-26 13:00:00,1907.03,1908.51,1905.88,1908.11,3929,140,0.0,False,False,68.41939386792663,8.228554654911308,19.820961197664925,8.099999999999909,79.17322359349998,1906.7149239111145,1907.0255567568904,0.0,0.0
2021-05-06 06:00:00,1789.84,1790.08,1788.56,1789.75,4285,140,0.0,False,False,64.72980691089485,93.20567446064386,79.21006150447823,8.009999999999991,169.28197293756924,1787.193320541837,1787.8229248857062,0.0,0.0
2021-09-16 17:00:00,1753.03,1756.26,1748.71,1753.89,10187,140,0.0,False,False,12.073395595241552,1.643011202890204,2.715422785801945,-41.02999999999997,-166.78269777554482,1764.09952839401,1762.344908716993,0.0,0.0
2021-09-20 10:00:00,1753.19,1754.84,1750.81,1754.26,4654,140,0.0,False,False,48.93909319536336,98.49504725263957,77.41386694974028,2.769999999999982,71.49477064209978,1750.9715101395425,1751.9674624504378,0.0,0.0
2021-10-27 17:00:00,1795.02,1795.18,1784.77,1792.0,11595,140,1.0,False,True,49.23633901819628,91.16680764132144,96.37189593813036,0.1600000000000818,46.754600841661535,1792.7335237636205,1792.1245168686032,1.0,0.0
2021-04-30 19:00:00,1767.12,1768.24,1765.69,1767.82,5635,140,0.0,False,False,45.10688789607658,55.433270580579,62.82019882287125,0.2000000000000454,-114.863402173441,1768.690129027074,1768.4914336734782,0.0,0.0
2021-09-17 16:00:00,1753.0,1755.63,1748.51,1749.89,10167,140,0.0,False,False,29.381026022515787,43.88110619793147,63.02592994467077,-4.029999999999973,-165.9190182182857,1758.348157186654,1755.989895766462,0.0,0.0
2021-09-17 22:00:00,1752.82,1754.22,1751.11,1751.54,1436,140,0.0,False,False,36.12351601040131,29.170746410789253,25.4175003888778,-11.240000000000007,-61.82806798394541,1752.1945181817005,1752.1778509314863,0.0,0.0
2021-09-17 20:00:00,1751.46,1752.68,1750.27,1750.72,3029,140,0.0,False,False,32.98229329691657,21.410537856635912,24.60010068794457,-7.329999999999927,-97.69770696966486,1752.4892171713905,1752.2851645958444,0.0,0.0
2021-06-28 05:00:00,1773.36,1779.79,1771.693,1779.22,4799,140,0.0,False,False,48.973245370254666,21.80599324430596,28.192185151155982,-5.819999999999936,-83.93130838506455,1777.9779107179788,1778.6916080790863,0.0,0.0
2021-03-16 18:00:00,1728.77,1731.63,1727.8,1730.51,7177,140,0.0,False,False,49.61260382169051,17.386345812239806,25.41123665203966,-1.240000000000009,-113.5546099798046,1731.5846155432632,1731.3747907052336,0.0,0.0
2021-07-05 14:00:00,1793.04,1793.11,1789.13,1789.58,3286,140,1.0,False,True,55.4701003801379,60.81521406450844,73.94222033401098,2.3299999999999272,58.13513057849571,1791.9117259671775,1790.9013076455851,1.0,0.0
2021-11-16 03:00:00,1864.18,1865.88,1862.29,1865.82,4676,140,0.0,False,False,57.47066500534108,38.95244507539548,27.0515304941204,2.5499999999999545,61.74424500554566,1863.485122082911,1864.315851072411,0.0,0.0
2021-04-15 19:00:00,1766.47,1769.24,1766.47,1767.43,4484,140,0.0,False,False,81.11085946942346,100.00000000000018,97.78319375991435,29.110000000000127,167.010609104519,1759.9170095073364,1761.2739097517997,0.0,0.0
2021-10-21 21:00:00,1778.69,1781.38,1778.5,1780.94,2292,140,1.0,False,True,48.56012303241127,22.53745683918875,24.03766173779416,-3.649999999999864,-74.60921289250464,1780.1282577619183,1780.5816408947078,1.0,0.0
2021-06-30 01:00:00,1761.04,1762.32,1760.88,1761.55,986,140,0.0,False,False,40.45027504839744,79.21003686447756,71.78174987929532,-11.789999999999964,-27.706060035060272,1761.5539545121858,1761.6367989815633,0.0,0.0
2021-12-07 19:00:00,1785.88,1786.76,1781.89,1783.0,2890,140,0.0,False,False,53.507091647266215,83.38290850220672,67.68815236342134,5.380000000000109,87.20483907763173,1782.7765441225708,1782.5953121583575,0.0,0.0
2021-05-14 22:00:00,1841.65,1843.675,1841.1,1843.33,4137,140,0.0,False,False,72.91162272738214,98.88875047098168,97.75957834071444,16.75,151.8076942243415,1840.0450290430572,1840.8776135671967,0.0,0.0
2021-09-17 19:00:00,1752.63,1754.43,1750.89,1751.49,3460,140,0.0,False,False,33.85794156171655,26.3653798032882,27.97411105020212,-6.569999999999936,-102.72287972219222,1753.1753619523174,1753.0677468937663,0.0,0.0
2021-06-24 20:00:00,1776.66,1777.703,1774.45,1775.47,4447,140,0.0,False,False,41.68632482772021,13.604484433579776,23.679655462211333,-0.4700000000000273,-86.38447574395984,1778.77935142112,1777.962053197111,0.0,0.0
2021-05-21 05:00:00,1871.15,1872.61,1870.33,1872.38,4540,140,1.0,False,True,47.57485150484968,10.560122424568243,17.677839944666378,1.1700000000000728,-113.1456077015634,1873.5681055740024,1873.4738322189764,1.0,0.0
2021-05-04 22:00:00,1777.59,1778.58,1776.0,1778.15,4470,140,0.0,False,False,41.14132619628094,13.46110651258507,9.337840480233778,-8.9699999999998,-98.69561586638876,1779.1739712735275,1779.3340895717297,0.0,0.0
2021-10-26 04:00:00,1805.31,1806.84,1802.66,1805.16,3399,140,1.0,False,True,55.151753460038336,25.712120364071307,47.02046272719826,5.420000000000073,-61.89849562984329,1806.5274225213093,1806.1715176160335,1.0,0.0
2021-07-27 08:00:00,1797.852,1797.852,1794.5,1796.23,2283,140,0.0,False,False,39.040674492761966,75.53252676613614,77.46894941209787,-5.289999999999964,-144.89713864503176,1798.148724510285,1797.4933704810576,0.0,0.0
2021-11-17 14:00:00,1861.64,1864.84,1861.64,1863.79,4050,140,0.0,False,False,60.61526075370266,98.60491190308367,97.07047684687517,13.36999999999989,155.1046995879333,1859.8162317719184,1860.8165013533423,0.0,0.0
2021-08-18 06:00:00,1791.17,1792.31,1789.6,1790.15,2069,140,-1.0,True,False,59.05259570776054,91.31872722465428,70.73871487058173,0.7000000000000455,144.9914195441787,1788.9086558816148,1789.0160934964902,0.0,-1.0
2021-10-14 01:00:00,1792.686,1793.71,1792.24,1792.99,1348,140,0.0,False,False,69.99086897484878,81.96566526790359,84.02665249279924,27.980000000000015,60.95701136908522,1792.0371971479665,1791.9807733256205,0.0,0.0
2021-03-09 16:00:00,1713.39,1720.58,1713.3,1717.68,12662,140,-1.0,True,False,70.89308999946392,86.61968269158531,87.25672337912181,33.15000000000009,149.40760680473824,1707.4311954388784,1710.0597120468278,0.0,-1.0
