datetime,open,high,low,close,tick_volume,spread,TARGET,t_price,fractals_high,fractals_low,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MOM_14,CCI_14_0.015,EMA_4_ema4o,EMA_5_ema5c
2019-08-02 22:00:00,1442.48,1443.26,1439.82,1440.93,4347,160,,,False,False,57.30354936586758,34.233303668290795,59.01079785911026,7.3900000000001,28.525563275891717,1443.4277595843578,1442.4881850342347
2019-08-02 23:00:00,1440.98,1441.56,1439.37,1440.56,1503,160,,,False,False,56.67631327152203,23.75438528746165,39.79581749760307,7.119999999999891,4.329222002034669,1442.4486557506148,1441.8454566894898
2019-08-05 01:00:00,1439.7,1442.46,1436.72,1437.87,2610,160,1.0,1442.46,False,True,52.202517013557106,10.644403767060235,22.87736424093768,-1.240000000000009,-29.46246094725493,1441.3491934503688,1440.5203044596599
2019-08-05 02:00:00,1437.89,1440.16,1437.879,1439.62,1980,160,,,False,False,54.70731731314713,9.974974601167203,14.791254551896484,3.189999999999827,-30.176235094608945,1439.9655160702214,1440.2202029731066
2019-08-05 03:00:00,1439.64,1444.4,1438.75,1443.35,4808,160,,,False,False,59.57051331257245,21.668453721385152,14.095944029870985,6.429999999999836,29.31864951678428,1439.8353096421329,1441.2634686487377
2019-08-05 04:00:00,1443.35,1451.79,1439.221,1449.15,12195,160,,,False,False,65.73200982788428,51.36249086608566,27.66863972954613,12.440000000000055,117.74694804998343,1441.2411857852796,1443.8923124324917
2019-08-05 05:00:00,1449.13,1452.68,1445.74,1450.98,12035,160,,,False,False,67.41917586722772,79.1983799007443,50.74310816273849,13.0,156.9030084871689,1444.396711471168,1446.2548749549944
2019-08-05 06:00:00,1450.91,1456.04,1450.67,1452.24,8684,160,-1.0,1456.04,True,False,68.56670377256329,96.36070381136722,75.64052485939918,17.970000000000027,182.28241531830318,1447.0020268827009,1448.2499166366629
2019-08-05 07:00:00,1452.24,1454.37,1451.14,1453.08,4171,160,,,False,False,69.34194909602441,100.00000000000004,91.85302790403729,12.460000000000036,149.46816232599903,1449.0972161296206,1449.859944424442
2019-08-05 08:00:00,1453.06,1453.94,1450.77,1452.84,5196,160,1.0,1450.77,False,False,68.81969886982806,98.9843105191905,98.44833811018604,6.139999999999873,114.48470086354489,1450.6823296777723,1450.8532962829613
2019-08-05 09:00:00,1452.84,1459.76,1452.4,1458.44,8706,160,-1.0,1459.76,True,False,73.7816205513263,98.9843105191905,99.32287367946047,11.789999999999964,143.3819275714464,1451.5453978066632,1453.3821975219741
